% Moku:Pro Data Logger
% Input 1, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 2, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 3, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 4, DC coupling, 1 MOhm impedance, 40 Vpp range
% Acquisition rate: 5.0000000000e+01 Hz, Precision mode
% Output 1 (off) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (on) - Ramp, 10.000 000 Hz, 8.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Output 3 (on) - Square, 10.000 000 Hz, 2.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Output 4 (off) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2024-07-24 T 17:16:52 +0200
% Ch1,2,3=LVDT1,2,3. Ch4=Vin. Only LVDT1 is a actuator. ramp wave with 50% duty cycle, 6Vpp,T=1Hz
% Time (s), Input 1 (V), Input 2 (V), Input 3 (V), Input 4 (V)
Time,LVDT1,LVDT2,LVDT3,Vin
0.0000000000e+00, 9.1337091499e-01, 6.2300538721e-03, 9.8101708312e-01, -6.8516238280e-03
2.0000000000e-02, 9.1325294348e-01, 6.3690141815e-03, 1.0084899705e+00, -6.8297103189e-03
4.0000000000e-02, 9.1326524726e-01, 5.8015929180e-03, 9.7664707089e-01, -6.8516238280e-03
6.0000000000e-02, 9.1324281096e-01, 6.2307776237e-03, 9.9693672356e-01, -6.8370148219e-03
8.0000000000e-02, 9.1327465603e-01, 5.7871178858e-03, 1.0077944452e+00, -6.8443193250e-03
1.0000000000e-01, 9.1362929432e-01, 5.2739779932e-03, 9.5610048639e-01, -6.8297103189e-03
1.2000000000e-01, 9.1406571654e-01, 5.1603489902e-03, 1.0069751584e+00, -6.8224058159e-03
1.4000000000e-01, 9.1449345374e-01, 4.5719389300e-03, 9.9069726092e-01, -6.8662328340e-03
1.6000000000e-01, 9.1506232251e-01, 4.1442017276e-03, 1.0018705383e+00, -6.8735373370e-03
1.8000000000e-01, 9.1571369896e-01, 3.3813675291e-03, 1.0073174929e+00, -6.8662328340e-03
2.0000000000e-01, 9.1637882669e-01, 2.7567698883e-03, 9.8937858549e-01, -6.8516238280e-03
2.2000000000e-01, 9.1718291473e-01, 2.3616015084e-03, 1.0079500518e+00, -6.7931878039e-03
2.4000000000e-01, 9.1800654407e-01, 1.9780131543e-03, 9.8110176206e-01, -6.8443193250e-03
2.6000000000e-01, 9.1863476046e-01, 2.0605208380e-03, 9.9956683692e-01, -6.8443193250e-03
