% Moku:Pro Data Logger
% Input 1, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 2, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 3, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 4, DC coupling, 1 MOhm impedance, 40 Vpp range
% Acquisition rate: 5.0000000000e+01 Hz, Precision mode
% Output 1 (on) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 3.9 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Output 3 (off) - Square, 80.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Output 4 (on) - Sine, 1.000 000 Hz, 6.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2024-07-24 T 17:03:36 +0200
% Ch1,2,3=LVDT1,2,3. Ch4=Vin. Only LVDT1 is a actuator. Sine wave with 50% duty cycle, 6Vpp,T=1Hz
% Time (s), Input 1 (V), Input 2 (V), Input 3 (V), Input 4 (V)
Time,LVDT1,LVDT2,LVDT3,Vin
0.0000000000e+00, 9.2000337476e-01, 8.6517267642e-03, 1.0041286433e+00, 5.9374944937e+00
2.0000000000e-02, 9.1960820638e-01, 8.7856208124e-03, 1.0042791837e+00, 5.7989426805e+00
4.0000000000e-02, 9.1960675888e-01, 8.8058858575e-03, 1.0043493876e+00, 5.5688216175e+00
6.0000000000e-02, 9.1949674863e-01, 8.7704220285e-03, 1.0046533632e+00, 5.2500896284e+00
8.0000000000e-02, 9.1911822654e-01, 8.6155391837e-03, 1.0048191024e+00, 4.8501753929e+00
1.0000000000e-01, 9.1855587154e-01, 8.3528173487e-03, 1.0049790515e+00, 4.3717888814e+00
1.2000000000e-01, 9.1874477071e-01, 8.0698304686e-03, 1.0053430985e+00, 3.8252951839e+00
1.4000000000e-01, 9.1885478095e-01, 7.6855183628e-03, 1.0056275329e+00, 3.2186050770e+00
1.6000000000e-01, 9.1831196725e-01, 7.2548861540e-03, 1.0059177573e+00, 2.5601698707e+00
1.8000000000e-01, 9.1813899061e-01, 6.8213589387e-03, 1.0064229359e+00, 1.8619178185e+00
2.0000000000e-01, 9.1747024412e-01, 6.2879540010e-03, 1.0066965140e+00, 1.1337538265e+00
2.2000000000e-01, 9.1730522875e-01, 5.7921841471e-03, 1.0071698476e+00, 3.8744544892e-01
2.4000000000e-01, 9.1667049859e-01, 5.2095640998e-03, 1.0074557295e+00, -3.6454583196e-01
2.6000000000e-01, 9.1632309782e-01, 4.6501041041e-03, 1.0079261680e+00, -1.1107957735e+00
2.8000000000e-01, 9.1600392336e-01, 4.0906441084e-03, 1.0083611428e+00, -1.8393249907e+00
3.0000000000e-01, 9.1539886701e-01, 3.5073003095e-03, 1.0086803172e+00, -2.5399802244e+00
3.2000000000e-01, 9.1515351521e-01, 2.9029677139e-03, 1.0090161380e+00, -3.2000808573e+00
3.4000000000e-01, 9.1487269959e-01, 2.3659440181e-03, 1.0094228864e+00, -3.8100945131e+00
3.6000000000e-01, 9.1448114997e-01, 1.7768102063e-03, 1.0095379629e+00, -4.3603500297e+00
3.8000000000e-01, 9.1390287243e-01, 1.2636703137e-03, 1.0098064747e+00, -4.8410885911e+00
4.0000000000e-01, 9.1364015059e-01, 7.5776793727e-04, 1.0099533963e+00, -5.2464154634e+00
4.2000000000e-01, 9.1351856032e-01, 3.2568822519e-04, 1.0102407257e+00, -5.5690407526e+00
4.4000000000e-01, 9.1341506384e-01, -9.7706467557e-05, 1.0101871681e+00, -5.8034495588e+00
4.6000000000e-01, 9.1252267811e-01, -4.3352721531e-04, 1.0100366277e+00, -5.9466835585e+00
4.8000000000e-01, 9.1309371813e-01, -6.6802273744e-04, 1.0101517042e+00, -5.9966682726e+00
5.0000000000e-01, 9.1254149565e-01, -8.8587197251e-04, 1.0099939264e+00, -5.9512415683e+00
5.2000000000e-01, 9.1212389097e-01, -9.6910340784e-04, 1.0098448336e+00, -5.8123391390e+00
5.4000000000e-01, 9.1301193419e-01, -1.0241085303e-03, 1.0096689619e+00, -5.5822472940e+00
5.6000000000e-01, 9.1267900845e-01, -1.0183185174e-03, 1.0093389312e+00, -5.2640412292e+00
5.8000000000e-01, 9.1334992620e-01, -9.5245712077e-04, 1.0090117955e+00, -4.8628194876e+00
6.0000000000e-01, 9.1350553279e-01, -7.8888925657e-04, 1.0087526924e+00, -4.3859084858e+00
6.2000000000e-01, 9.1350046653e-01, -6.5427145682e-04, 1.0081382273e+00, -3.8388085144e+00
6.4000000000e-01, 9.1408236283e-01, -3.8358835411e-04, 1.0078342516e+00, -3.2314610023e+00
6.6000000000e-01, 9.1495954978e-01, -1.0711523851e-04, 1.0074875746e+00, -2.5735882427e+00
6.8000000000e-01, 9.1542057956e-01, 1.8166165449e-04, 1.0069411421e+00, -1.8745326952e+00
7.0000000000e-01, 9.1596918328e-01, 5.9202881823e-04, 1.0065329462e+00, -1.1471941120e+00
7.2000000000e-01, 9.1648738943e-01, 9.8140718524e-04, 1.0059220998e+00, -4.0157966225e-01
7.4000000000e-01, 9.1694407670e-01, 1.3903268458e-03, 1.0052946072e+00, 3.5042622764e-01
7.6000000000e-01, 9.1759400565e-01, 1.9027429867e-03, 1.0050094490e+00, 1.0972459204e+00
7.8000000000e-01, 9.1794864394e-01, 2.3456789730e-03, 1.0044456465e+00, 1.8265275014e+00
8.0000000000e-01, 9.1832571853e-01, 2.8067087495e-03, 1.0038304577e+00, 2.5261820182e+00
8.2000000000e-01, 9.1921882802e-01, 3.3335999227e-03, 1.0037074199e+00, 3.1872468455e+00
8.4000000000e-01, 9.1913414908e-01, 3.7512046026e-03, 1.0031884900e+00, 3.7966250095e+00
8.6000000000e-01, 9.2006561740e-01, 4.2042731114e-03, 1.0028584593e+00, 4.3461719894e+00
8.8000000000e-01, 9.1986369070e-01, 4.5979939881e-03, 1.0025501411e+00, 4.8281742298e+00
9.0000000000e-01, 9.1999541349e-01, 4.9446710100e-03, 1.0021672765e+00, 5.2324273402e+00
9.2000000000e-01, 9.1975368046e-01, 5.2899005287e-03, 1.0021129951e+00, 5.5545413141e+00
9.4000000000e-01, 9.2068732004e-01, 5.5656498927e-03, 1.0020760838e+00, 5.7894176086e+00
9.6000000000e-01, 9.2076982772e-01, 5.7567203181e-03, 1.0019204772e+00, 5.9327465667e+00
9.8000000000e-01, 9.2043473072e-01, 5.9448957371e-03, 1.0019096209e+00, 5.9819570035e+00
1.0000000000e+00, 9.2124243752e-01, 6.1033973400e-03, 1.0021520777e+00, 5.9366690848e+00
1.0200000000e+00, 9.2093701434e-01, 6.1381374174e-03, 1.0021643815e+00, 5.7980807491e+00
1.0400000000e+00, 9.2054184596e-01, 6.1895237818e-03, 1.0025219148e+00, 5.5680984717e+00
1.0600000000e+00, 9.1999324224e-01, 6.1620212206e-03, 1.0027875316e+00, 5.2500092789e+00
1.0800000000e+00, 9.2042821696e-01, 6.1041210917e-03, 1.0031848712e+00, 4.8495325966e+00
1.1000000000e+00, 9.1996067342e-01, 5.9600945210e-03, 1.0035062169e+00, 4.3716281824e+00
1.1200000000e+00, 9.1950036739e-01, 5.8160679503e-03, 1.0040157381e+00, 3.8253463154e+00
1.1400000000e+00, 9.1912039780e-01, 5.5757824152e-03, 1.0045006517e+00, 3.2184224644e+00
1.1600000000e+00, 9.1888952103e-01, 5.3007568029e-03, 1.0050014878e+00, 2.5598557771e+00
1.1800000000e+00, 9.1845237506e-01, 4.9917148647e-03, 1.0054979814e+00, 1.8617425104e+00
1.2000000000e+00, 9.1825696212e-01, 4.6689216460e-03, 1.0061500816e+00, 1.1336661724e+00
1.2200000000e+00, 9.1754334303e-01, 4.2998083241e-03, 1.0066943428e+00, 3.8741623090e-01
1.2400000000e+00, 9.1723719610e-01, 3.9495125441e-03, 1.0072856479e+00, -3.6452391846e-01
1.2600000000e+00, 9.1680656389e-01, 3.5941505029e-03, 1.0079652506e+00, -1.1107884690e+00
1.2800000000e+00, 9.1630572778e-01, 3.2351697035e-03, 1.0084769430e+00, -1.8392665546e+00
1.3000000000e+00, 9.1584976426e-01, 2.9073102235e-03, 1.0091442420e+00, -2.5399437018e+00
1.3200000000e+00, 9.1548644095e-01, 2.5613569532e-03, 1.0095893492e+00, -3.2000005078e+00
1.3400000000e+00, 9.1493638973e-01, 2.2653425441e-03, 1.0100127439e+00, -3.8098315510e+00
1.3600000000e+00, 9.1456655266e-01, 2.0076869704e-03, 1.0105381876e+00, -4.3598971505e+00
1.3800000000e+00, 9.1398682762e-01, 1.7268713451e-03, 1.0107553131e+00, -4.8406503210e+00
1.4000000000e+00, 9.1405124151e-01, 1.5444859390e-03, 1.0112076578e+00, -5.2460794563e+00
